R,G,B,Color name,Id
93,138,168,Air Force Blue,15
93,138,168,Air Force Blue,15
93,138,168,Air Force Blue,15
93,138,168,Air Force Blue,15
93,138,168,Air Force Blue,15
93,138,168,Air Force Blue,15
93,138,168,Air Force Blue,15
93,138,168,Air Force Blue,15
93,138,168,Air Force Blue,15
93,138,168,Air Force Blue,15
93,138,168,Air Force Blue,15
93,138,168,Air Force Blue,15
93,138,168,Air Force Blue,15
93,138,168,Air Force Blue,15
93,138,168,Air Force Blue,15
93,138,168,Air Force Blue,15
93,138,168,Air Force Blue,15
93,138,168,Air Force Blue,15
93,138,168,Air Force Blue,15
93,138,168,Air Force Blue,15
224,224,0,yellow-shade,3
171,171,41,yellow-shade,3
140,140,62,yellow-shade,3
184,184,119,yellow-shade,3
217,217,102,yellow-shade,3
166,166,78,yellow-shade,3
224,224,182,yellow-shade,3
181,181,125,yellow-shade,3
158,158,109,yellow-shade,3
135,135,96,yellow-shade,3
102,102,65,yellow-shade,3
99,99,58,yellow-shade,3
99,99,51,yellow-shade,3
99,99,41,yellow-shade,3
99,99,33,yellow-shade,3
125,125,15,yellow-shade,3
105,105,15,yellow-shade,3
112,112,18,yellow-shade,3
117,117,25,yellow-shade,3
207,207,112,yellow-shade,3
212,212,70,yellow-shade,3
237,237,83,yellow-shade,3
156,156,30,yellow-shade,3
128,128,27,yellow-shade,3
122,122,33,yellow-shade,3
125,125,41,yellow-shade,3
207,207,107,yellow-shade,3
207,207,93,yellow-shade,3
158,158,52,yellow-shade,3
135,135,50,yellow-shade,3
212,212,78,yellow-shade,3
222,222,42,yellow-shade,3
196,196,0,yellow-shade,3
133,133,5,yellow-shade,3
89,89,0,yellow-shade,3
204,204,55,yellow-shade,3
196,196,43,yellow-shade,3
189,189,28,yellow-shade,3
255,255,25,yellow-shade,3
255,255,0,yellow-shade,3
230,230,14,yellow-shade,3
222,222,2,yellow-shade,3
173,173,0,yellow-shade,3
196,196,0,yellow-shade,3
230,230,0,yellow-shade,3
255,255,0,yellow-shade,3
105,105,209,blue-shade,9
90,90,209,blue-shade,9
72,72,217,blue-shade,9
105,105,255,blue-shade,9
153,153,224,blue-shade,9
192,192,237,blue-shade,9
175,175,224,blue-shade,9
153,153,207,blue-shade,9
132,132,189,blue-shade,9
109,109,168,blue-shade,9
95,95,153,blue-shade,9
70,70,128,blue-shade,9
52,52,102,blue-shade,9
41,41,89,blue-shade,9
43,43,102,blue-shade,9
45,45,122,blue-shade,9
43,43,135,blue-shade,9
43,43,158,blue-shade,9
40,40,181,blue-shade,9
35,35,196,blue-shade,9
28,28,212,blue-shade,9
20,20,224,blue-shade,9
12,12,237,blue-shade,9
147,147,245,blue-shade,9
173,173,255,blue-shade,9
201,201,255,blue-shade,9
0,0,161,blue-shade,9
0,0,255,blue-shade,9
56,181,181,cyan-shade,7
42,163,163,cyan-shade,7
109,227,227,cyan-shade,7
163,201,201,cyan-shade,7
70,140,140,cyan-shade,7
107,181,181,cyan-shade,7
96,163,163,cyan-shade,7
32,117,117,cyan-shade,7
53,135,135,cyan-shade,7
111,191,191,cyan-shade,7
27,181,181,cyan-shade,7
40,153,153,cyan-shade,7
113,189,189,cyan-shade,7
87,201,201,cyan-shade,7
135,255,255,cyan-shade,7
